,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
63,3.0,0,1.0,0.0,3.0,0.0,0.0,2.0,158,0.0,23,3.0,1,24,33,2,2.0,3,1,1929
64,3.0,0,3.0,3.0,0.0,0.0,0.0,2.0,241,2.0,34,2.0,5,24,15,10,0.0,4,4,2719
65,3.0,1,1.0,3.0,3.0,0.0,0.0,0.0,176,2.0,59,2.0,1,11,41,19,0.0,3,2,2336
66,1.0,1,1.0,0.0,1.0,1.0,0.0,2.0,189,0.0,682,0.0,6,0,35,3,1.0,3,4,1270
67,3.0,1,1.0,0.0,2.0,0.0,0.0,2.0,214,0.0,10,2.0,6,20,12,24,0.0,3,2,1803
68,1.0,1,0.0,2.0,0.0,0.0,0.0,1.0,264,3.0,10,1.0,1,7,22,17,1.0,2,4,1816
69,1.0,0,3.0,3.0,3.0,2.0,4.0,1.0,213,0.0,7964,0.0,1,16,43,9,2.0,2,2,4638
70,0.0,1,3.0,3.0,3.0,2.0,2.0,2.0,281,1.0,3606,0.0,3,16,8,22,1.0,2,1,1909
71,1.0,0,0.0,0.0,2.0,1.0,0.0,1.0,280,2.0,536,2.0,2,2,30,1,0.0,3,1,2021
72,1.0,0,3.0,1.0,2.0,1.0,0.0,0.0,125,1.0,1564,2.0,5,4,15,23,2.0,3,2,1896
73,3.0,0,0.0,2.0,0.0,0.0,0.0,0.0,188,2.0,78,0.0,4,11,21,3,2.0,3,3,1770
74,1.0,1,3.0,2.0,1.0,0.0,0.0,2.0,251,0.0,98,0.0,1,12,47,3,2.0,1,2,1323
75,1.0,1,2.0,2.0,1.0,1.0,0.0,0.0,285,3.0,1820,0.0,1,21,24,9,0.0,3,2,2269
76,3.0,0,0.0,1.0,1.0,1.0,0.0,0.0,234,0.0,243,3.0,4,20,36,5,0.0,1,4,1918
77,2.0,1,0.0,2.0,2.0,1.0,0.0,1.0,91,3.0,1586,0.0,7,8,43,2,0.0,1,3,2477
78,1.0,1,3.0,2.0,2.0,0.0,0.0,0.0,118,2.0,11,2.0,3,6,10,16,2.0,3,2,1444
79,3.0,1,1.0,3.0,2.0,0.0,0.0,0.0,75,0.0,72,0.0,5,15,42,16,1.0,1,3,1254
80,2.0,0,1.0,1.0,0.0,1.0,0.0,0.0,134,0.0,1157,0.0,5,19,35,10,2.0,3,3,1411
81,0.0,0,2.0,2.0,1.0,1.0,0.0,2.0,282,0.0,1380,3.0,4,7,11,8,2.0,2,2,1605
82,3.0,0,1.0,0.0,0.0,2.0,3.0,2.0,110,0.0,5765,1.0,5,7,2,18,2.0,3,2,3054
83,2.0,1,1.0,0.0,2.0,0.0,0.0,0.0,202,3.0,92,3.0,6,9,16,14,0.0,4,2,2902
84,2.0,0,2.0,0.0,0.0,2.0,3.0,0.0,56,2.0,7797,2.0,7,22,8,15,0.0,2,2,4301
85,1.0,1,0.0,3.0,0.0,0.0,0.0,2.0,223,3.0,50,0.0,3,12,35,22,0.0,3,4,2308
86,1.0,1,1.0,1.0,1.0,2.0,4.0,2.0,202,2.0,7629,1.0,1,17,37,2,2.0,1,2,4132
87,2.0,0,1.0,2.0,1.0,2.0,4.0,1.0,114,2.0,2367,1.0,3,1,41,23,2.0,1,2,2993
88,2.0,1,3.0,2.0,1.0,2.0,4.0,2.0,141,2.0,3960,1.0,1,7,21,1,0.0,2,0,3098
89,2.0,1,0.0,3.0,3.0,0.0,0.0,1.0,236,1.0,42,3.0,2,19,15,10,0.0,2,0,1364
90,1.0,1,3.0,2.0,3.0,2.0,3.0,1.0,95,1.0,6455,2.0,1,15,31,14,0.0,1,4,2941
91,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,249,2.0,41,2.0,4,6,2,4,1.0,3,1,1349
92,2.0,1,2.0,2.0,2.0,0.0,0.0,2.0,213,0.0,71,1.0,1,24,17,16,0.0,2,1,1038
93,3.0,0,1.0,3.0,1.0,0.0,0.0,0.0,81,0.0,39,1.0,7,16,31,15,2.0,2,0,1815
94,2.0,1,1.0,1.0,3.0,0.0,0.0,0.0,91,3.0,50,3.0,1,13,29,24,2.0,2,5,2566
95,2.0,1,0.0,3.0,1.0,2.0,1.0,1.0,291,3.0,8707,1.0,3,2,23,23,1.0,1,3,2439
96,3.0,1,2.0,3.0,0.0,2.0,3.0,1.0,70,3.0,167,0.0,2,9,7,20,0.0,2,2,2056
97,2.0,1,2.0,1.0,2.0,1.0,0.0,2.0,89,3.0,631,1.0,7,2,0,18,1.0,0,3,2299
98,2.0,0,0.0,3.0,0.0,1.0,0.0,0.0,121,1.0,194,2.0,6,15,16,18,1.0,2,3,1492
99,0.0,1,3.0,2.0,3.0,0.0,0.0,2.0,198,1.0,46,1.0,1,12,45,17,2.0,1,2,1692
100,3.0,0,1.0,1.0,1.0,0.0,0.0,0.0,234,2.0,37,3.0,3,15,29,3,0.0,3,3,2581
101,2.0,0,1.0,0.0,1.0,0.0,0.0,1.0,84,1.0,31,2.0,2,0,1,1,1.0,2,2,950
102,1.0,0,0.0,3.0,3.0,2.0,3.0,2.0,182,0.0,2880,0.0,5,10,9,1,1.0,1,4,1923
103,2.0,1,2.0,0.0,1.0,0.0,0.0,2.0,275,0.0,6,3.0,2,19,49,19,0.0,3,1,1751
104,0.0,1,2.0,1.0,3.0,0.0,0.0,1.0,228,3.0,40,0.0,6,1,35,7,1.0,3,2,2562
105,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,140,2.0,1,2.0,6,9,24,24,2.0,2,4,2456
106,2.0,1,1.0,1.0,0.0,1.0,0.0,1.0,232,0.0,1341,3.0,1,22,8,1,1.0,1,2,657
107,1.0,1,2.0,3.0,0.0,1.0,0.0,2.0,115,3.0,393,0.0,3,21,13,9,2.0,2,2,1758
108,3.0,1,0.0,2.0,2.0,1.0,0.0,0.0,157,2.0,191,1.0,4,2,44,12,1.0,2,1,2184
109,3.0,1,2.0,3.0,3.0,1.0,0.0,1.0,156,3.0,131,3.0,1,14,20,23,2.0,2,5,3009
110,0.0,0,3.0,2.0,1.0,2.0,5.0,2.0,252,3.0,1419,2.0,5,8,43,20,0.0,2,3,3748
111,1.0,1,0.0,2.0,0.0,2.0,1.0,0.0,162,1.0,9159,0.0,7,2,26,16,2.0,4,1,1122
112,3.0,0,1.0,2.0,1.0,2.0,2.0,0.0,145,0.0,8016,0.0,3,21,14,16,2.0,2,2,2810
113,2.0,1,3.0,2.0,0.0,0.0,0.0,0.0,214,0.0,87,1.0,3,24,32,23,2.0,3,1,1346
114,0.0,1,0.0,3.0,2.0,0.0,0.0,0.0,126,1.0,3,0.0,5,15,3,12,0.0,1,2,671
115,0.0,1,3.0,3.0,1.0,0.0,0.0,2.0,91,2.0,13,3.0,1,19,44,16,0.0,2,1,1695
116,1.0,1,3.0,1.0,0.0,0.0,0.0,0.0,205,0.0,74,2.0,3,6,2,19,2.0,2,2,810
117,0.0,1,2.0,3.0,1.0,2.0,2.0,0.0,285,2.0,7743,3.0,3,1,33,4,0.0,3,4,2768
118,0.0,1,0.0,1.0,2.0,1.0,0.0,0.0,178,0.0,993,2.0,7,11,2,13,1.0,1,1,1033
119,3.0,1,3.0,3.0,3.0,1.0,0.0,1.0,236,1.0,1997,2.0,4,6,17,6,2.0,1,3,2046
120,3.0,1,3.0,1.0,3.0,2.0,1.0,0.0,286,1.0,2721,0.0,6,23,30,22,2.0,2,5,2171
121,1.0,1,1.0,2.0,3.0,0.0,0.0,2.0,108,1.0,5,1.0,7,21,0,4,0.0,2,3,1312
122,3.0,0,0.0,3.0,1.0,1.0,0.0,1.0,76,1.0,941,2.0,1,24,3,18,2.0,2,2,1209
123,0.0,0,0.0,1.0,3.0,2.0,5.0,1.0,270,2.0,8815,0.0,2,7,37,9,1.0,3,1,4017
124,1.0,1,2.0,1.0,1.0,2.0,1.0,2.0,146,1.0,3276,3.0,1,13,10,10,2.0,0,2,877
125,3.0,0,0.0,3.0,0.0,2.0,2.0,1.0,221,0.0,3309,1.0,5,8,16,20,0.0,3,1,1856
126,3.0,0,2.0,1.0,1.0,2.0,2.0,2.0,230,0.0,2623,1.0,2,20,31,12,2.0,2,1,2197
127,3.0,1,3.0,3.0,0.0,2.0,5.0,2.0,295,3.0,7915,2.0,1,15,10,18,1.0,2,2,4281
128,0.0,0,0.0,0.0,0.0,2.0,3.0,1.0,177,2.0,8897,0.0,3,17,3,24,0.0,3,3,3480
129,0.0,1,1.0,3.0,2.0,0.0,0.0,2.0,189,0.0,19,1.0,1,22,36,7,1.0,1,3,953
130,0.0,0,3.0,2.0,2.0,2.0,1.0,2.0,174,2.0,3662,0.0,2,9,44,21,0.0,2,3,2046
131,3.0,0,0.0,3.0,3.0,2.0,4.0,0.0,193,0.0,611,2.0,6,12,37,5,1.0,1,5,2521
132,2.0,0,3.0,3.0,1.0,1.0,0.0,0.0,238,3.0,1431,2.0,6,1,33,3,0.0,3,3,3551
133,1.0,0,2.0,3.0,1.0,1.0,0.0,1.0,101,0.0,1978,1.0,3,14,36,11,0.0,2,2,1459
134,0.0,0,0.0,2.0,0.0,0.0,0.0,1.0,99,3.0,92,3.0,2,8,29,18,2.0,3,4,2492
135,3.0,0,3.0,2.0,3.0,0.0,0.0,2.0,50,2.0,82,2.0,1,10,23,16,2.0,2,5,2411
136,3.0,1,2.0,2.0,3.0,1.0,0.0,0.0,71,3.0,1851,2.0,7,15,0,20,0.0,1,1,2761
137,0.0,1,1.0,3.0,1.0,1.0,0.0,1.0,232,1.0,1224,3.0,3,7,26,9,1.0,2,5,1500
138,2.0,0,2.0,1.0,1.0,2.0,1.0,1.0,247,0.0,8219,3.0,5,18,2,5,1.0,3,2,1708
139,3.0,1,3.0,0.0,3.0,1.0,0.0,1.0,222,0.0,1390,3.0,4,19,2,7,2.0,3,3,1717
140,2.0,0,0.0,0.0,1.0,1.0,0.0,1.0,61,2.0,434,1.0,1,23,41,14,2.0,2,3,2135
141,0.0,0,0.0,0.0,1.0,2.0,2.0,1.0,137,0.0,7460,0.0,6,5,11,20,1.0,2,2,2042
142,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,157,1.0,15,0.0,1,20,50,18,1.0,2,2,1221
143,0.0,0,1.0,0.0,2.0,2.0,5.0,0.0,174,3.0,4686,3.0,2,0,47,2,2.0,1,1,3473
144,1.0,1,1.0,2.0,0.0,0.0,0.0,2.0,214,0.0,88,2.0,5,12,39,21,1.0,1,2,1378
145,1.0,1,2.0,0.0,0.0,0.0,0.0,1.0,214,3.0,40,3.0,2,21,43,2,0.0,1,3,2135
146,1.0,0,2.0,1.0,1.0,0.0,0.0,0.0,66,0.0,56,0.0,6,11,49,20,2.0,2,1,1464
147,2.0,1,0.0,0.0,3.0,0.0,0.0,1.0,123,3.0,14,3.0,6,22,2,22,0.0,2,3,2816
148,1.0,0,0.0,0.0,1.0,1.0,0.0,1.0,105,3.0,108,1.0,1,17,19,11,2.0,2,1,2210
149,3.0,1,3.0,0.0,2.0,2.0,1.0,2.0,125,0.0,5168,0.0,3,1,40,17,2.0,2,2,1552
150,1.0,0,0.0,1.0,3.0,2.0,4.0,0.0,280,2.0,672,0.0,3,24,34,18,2.0,1,1,2406
151,3.0,1,0.0,0.0,2.0,0.0,0.0,1.0,238,3.0,94,3.0,3,17,21,22,1.0,3,5,3004
152,3.0,1,1.0,2.0,1.0,2.0,4.0,1.0,270,1.0,3114,2.0,3,14,5,10,1.0,3,5,2540
153,1.0,1,1.0,3.0,2.0,2.0,3.0,0.0,80,1.0,7134,3.0,2,5,8,5,0.0,1,2,2424
154,2.0,1,0.0,1.0,3.0,2.0,5.0,1.0,276,1.0,8609,3.0,6,6,14,20,0.0,2,1,4000
155,1.0,1,3.0,0.0,2.0,1.0,0.0,2.0,210,0.0,852,3.0,1,16,32,10,2.0,2,3,1288
156,3.0,0,1.0,0.0,2.0,1.0,0.0,0.0,270,1.0,1673,1.0,6,16,50,14,0.0,1,3,2317
157,1.0,1,1.0,1.0,3.0,1.0,0.0,2.0,152,3.0,1564,2.0,7,9,17,15,0.0,1,0,2730
158,1.0,1,0.0,1.0,1.0,0.0,0.0,2.0,247,1.0,74,0.0,7,3,17,22,0.0,3,1,1371
159,1.0,1,3.0,2.0,2.0,2.0,4.0,1.0,145,1.0,2885,0.0,4,3,33,21,1.0,2,3,2349
160,1.0,0,0.0,3.0,2.0,2.0,4.0,0.0,260,1.0,8130,2.0,7,7,27,0,1.0,2,1,4536
161,2.0,1,1.0,3.0,1.0,1.0,0.0,2.0,283,3.0,228,3.0,3,2,40,17,2.0,1,3,2987
162,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,277,0.0,1162,1.0,4,1,20,7,1.0,2,2,1039
163,1.0,0,2.0,0.0,1.0,1.0,0.0,0.0,203,0.0,71,1.0,2,10,24,12,2.0,1,2,1036
164,3.0,1,3.0,3.0,2.0,2.0,5.0,0.0,213,2.0,6337,3.0,4,13,1,0,1.0,4,3,3620
165,1.0,0,0.0,1.0,2.0,1.0,0.0,0.0,135,1.0,1649,0.0,4,8,21,2,1.0,1,2,1009
166,0.0,1,3.0,2.0,2.0,2.0,5.0,2.0,96,3.0,6159,0.0,2,6,5,19,0.0,1,5,2895
167,2.0,0,3.0,1.0,0.0,2.0,5.0,1.0,162,0.0,9884,3.0,1,21,32,21,0.0,3,4,4294
168,1.0,0,0.0,1.0,1.0,2.0,2.0,1.0,233,2.0,4060,3.0,7,13,46,7,2.0,2,2,3429
169,0.0,1,3.0,2.0,2.0,0.0,0.0,1.0,262,1.0,68,1.0,7,11,13,9,0.0,2,2,1334
170,2.0,0,2.0,0.0,1.0,0.0,0.0,0.0,176,3.0,5,2.0,7,13,34,16,2.0,3,2,3697
171,1.0,1,2.0,3.0,2.0,1.0,0.0,2.0,176,1.0,702,0.0,4,7,31,18,1.0,3,2,1494
172,0.0,0,0.0,0.0,3.0,0.0,0.0,1.0,147,3.0,2,3.0,4,1,14,17,2.0,2,2,2779
173,2.0,1,3.0,0.0,3.0,0.0,0.0,2.0,83,1.0,42,0.0,1,7,0,1,2.0,1,2,993
174,1.0,1,3.0,0.0,3.0,1.0,0.0,0.0,205,0.0,274,3.0,5,20,32,0,1.0,3,4,1944
175,1.0,1,3.0,0.0,3.0,1.0,0.0,2.0,125,2.0,590,0.0,3,1,3,1,2.0,2,3,1474
176,2.0,0,1.0,3.0,2.0,2.0,5.0,2.0,145,2.0,84,0.0,1,1,5,22,0.0,4,2,1880
177,1.0,1,2.0,0.0,3.0,2.0,5.0,2.0,236,2.0,6908,2.0,3,15,8,17,0.0,4,2,3535
178,0.0,1,3.0,2.0,1.0,0.0,0.0,2.0,101,1.0,52,1.0,7,17,45,17,1.0,1,3,1644
179,3.0,1,1.0,1.0,2.0,2.0,3.0,0.0,77,2.0,121,3.0,2,2,0,3,1.0,1,4,1268
180,3.0,0,3.0,0.0,2.0,0.0,0.0,0.0,241,1.0,30,0.0,7,19,14,19,1.0,2,0,1529
181,3.0,0,0.0,3.0,0.0,1.0,0.0,0.0,124,1.0,1336,3.0,4,10,34,20,0.0,3,1,2076
182,3.0,0,3.0,0.0,0.0,0.0,0.0,2.0,82,0.0,89,2.0,4,5,49,10,1.0,3,0,1850
183,1.0,0,2.0,0.0,2.0,1.0,0.0,0.0,262,0.0,1412,0.0,6,10,7,19,1.0,1,0,1000
184,3.0,0,1.0,3.0,0.0,0.0,0.0,0.0,254,0.0,4,0.0,3,6,34,13,1.0,4,3,1485
185,2.0,1,2.0,1.0,3.0,1.0,0.0,1.0,76,1.0,1924,1.0,1,14,19,2,2.0,0,3,1139
186,0.0,1,2.0,2.0,2.0,0.0,0.0,0.0,207,0.0,64,2.0,2,8,13,14,2.0,0,4,682
187,2.0,0,0.0,2.0,2.0,2.0,1.0,2.0,234,0.0,8659,2.0,1,8,10,11,0.0,2,4,926
188,1.0,1,2.0,2.0,3.0,0.0,0.0,1.0,93,1.0,82,0.0,1,17,8,23,0.0,2,4,1037
189,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,76,3.0,31,0.0,4,1,0,0,2.0,2,1,1467
190,1.0,0,3.0,1.0,2.0,2.0,1.0,0.0,67,1.0,5230,1.0,3,5,6,0,1.0,1,3,914
191,0.0,1,3.0,3.0,0.0,1.0,0.0,0.0,101,2.0,450,3.0,4,22,35,20,2.0,2,3,1741
192,0.0,0,1.0,1.0,3.0,1.0,0.0,1.0,73,3.0,441,0.0,2,19,46,13,0.0,2,4,2742
193,3.0,1,1.0,3.0,1.0,2.0,3.0,0.0,280,1.0,6160,2.0,2,1,8,19,2.0,1,5,2988
194,2.0,1,0.0,3.0,3.0,0.0,0.0,2.0,85,2.0,35,1.0,4,20,34,4,1.0,2,3,2160
195,2.0,0,2.0,0.0,2.0,0.0,0.0,1.0,256,2.0,57,2.0,6,5,44,24,0.0,3,3,3098
196,1.0,0,1.0,2.0,1.0,0.0,0.0,1.0,193,3.0,7,3.0,3,10,43,7,1.0,1,3,2764
197,0.0,0,2.0,0.0,1.0,2.0,2.0,0.0,145,2.0,5469,1.0,4,16,5,5,2.0,2,2,2335
198,0.0,1,2.0,3.0,1.0,0.0,0.0,1.0,282,2.0,6,1.0,3,12,23,7,1.0,0,4,1462
199,3.0,0,3.0,2.0,3.0,1.0,0.0,1.0,133,2.0,21,0.0,3,5,31,11,1.0,1,1,2356
200,0.0,0,1.0,2.0,3.0,1.0,0.0,1.0,232,1.0,1127,1.0,1,19,45,16,2.0,1,2,1731
201,1.0,1,3.0,2.0,3.0,0.0,0.0,0.0,129,0.0,7,1.0,2,22,25,18,2.0,2,0,1162
202,1.0,1,1.0,1.0,3.0,2.0,1.0,2.0,140,2.0,6028,3.0,3,11,12,19,2.0,3,0,1884
203,0.0,0,0.0,2.0,1.0,2.0,3.0,1.0,155,1.0,1669,0.0,3,1,18,15,1.0,2,3,1505
204,3.0,0,2.0,0.0,1.0,1.0,0.0,2.0,171,0.0,1972,0.0,6,11,0,4,0.0,2,4,1252
205,1.0,1,3.0,0.0,0.0,1.0,0.0,1.0,274,0.0,684,1.0,6,9,22,10,2.0,2,3,1360
206,2.0,0,3.0,3.0,3.0,0.0,0.0,1.0,264,3.0,13,2.0,4,15,42,20,1.0,2,2,3824
207,1.0,0,0.0,2.0,3.0,2.0,3.0,2.0,98,3.0,8061,0.0,7,14,18,4,1.0,0,2,4580
208,1.0,1,0.0,3.0,3.0,2.0,3.0,2.0,252,0.0,2544,3.0,7,24,50,24,1.0,0,3,2833
209,0.0,0,1.0,3.0,0.0,0.0,0.0,1.0,256,1.0,46,3.0,1,17,35,14,0.0,1,5,1131
210,1.0,0,2.0,3.0,0.0,1.0,0.0,2.0,209,3.0,62,0.0,1,24,18,9,2.0,4,1,2382
211,1.0,0,0.0,0.0,1.0,2.0,1.0,2.0,269,2.0,4447,3.0,4,12,43,7,1.0,3,1,2649
212,1.0,0,2.0,1.0,1.0,2.0,5.0,2.0,113,1.0,4303,0.0,7,17,23,17,0.0,2,3,2706
213,2.0,0,0.0,2.0,0.0,2.0,3.0,1.0,270,3.0,3176,1.0,5,24,16,0,1.0,0,2,3045
214,0.0,0,2.0,1.0,1.0,2.0,5.0,0.0,72,1.0,7255,0.0,2,0,50,1,1.0,3,3,3134
